"Unique ID","Latitude","Longitude"
"277","40.703811","-73.918425"
"280","40.860531","-73.925536"
"286","40.713715","-73.990173"
"288","40.671987","-73.964375"
"290","40.742453999999995","-73.882017"
"292","40.675377000000005","-73.872106"
"293","40.603995","-73.75540500000001"
"295","40.7596","-73.83003000000001"
"298","40.861296","-73.897749"
"299","40.862803","-73.901034"
"312","40.687119","-73.975375"
"314","40.714565","-73.944053"
"315","40.675235","-73.971046"
"316","40.737015","-73.877223"
"318","40.751992","-73.97735933333335"
"321","40.718267","-73.993753"
"322","40.711926","-73.94067"
"323","40.677044","-73.86505"
"324","40.731352","-73.954449"
"325","40.869526","-73.846384"
"327","40.695602","-73.904084"
"329","40.823879999999996","-73.93647"
"331","40.699337","-73.990531"
"335","40.688484","-73.985001"
"336","40.690545","-73.985065"
"337","40.690545","-73.985065"
"343","40.746644","-73.891338"
"344","40.712646","-73.783817"
"346","40.702147","-73.801109"
"348","40.69218","-73.98594200000001"
"349","40.692338","-73.987342"
"350","40.706607","-73.922913"
"351","40.749145","-73.869527"
"354","40.608670000000004","-73.957734"
"358","40.679921","-73.94085799999999"
"363","40.76266","-73.967258"
"364","40.764629","-73.966113"
"370","40.874561","-73.90983100000001"
"374","40.711396","-73.889601"
"376","40.707739000000004","-73.93985"
"377","40.706152","-73.93314699999999"
"379","40.829521","-73.874516"
"381","40.844434","-73.91468499999999"
"383","40.699622000000005","-73.9119855"
"385","40.595246","-73.955161"
"388","40.688246","-73.980492"
"389","40.666235","-73.884079"
"396","40.669847","-73.950466"
"397","40.680438","-73.95042600000001"
"398","40.576312","-73.968501"
"399","40.685951","-73.82579799999999"
"400","40.713051","-74.008811"
"404","40.707564","-73.803326"
"405","40.852462","-73.828121"
"409","40.667883","-73.950683"
"410","40.724329","-73.997702"
"411","40.665414","-73.99287199999999"
"413","40.661614","-73.962246"
"415","40.750582","-73.940202"
"417","40.70722","-74.01334200000001"
"418","40.707513","-74.01378299999999"
"419","40.662549","-73.908946"
"423","40.759145000000004","-73.95326"
"424","40.661453","-73.916327"
"429","40.67358","-73.995959"
"431","40.726227","-74.003739"
"432","40.722301","-73.997141"
"433","40.831509000000004","-73.86761800000001"
"434","40.756879","-73.92074000000001"
"435","40.662742","-73.95085"
"437","40.700486","-73.807969"
"440","40.755583333333334","-73.98713833333333"
"441","40.755583333333334","-73.98713833333333"
"442","40.754672","-73.986754"
"443","40.755583333333334","-73.98713833333333"
"445","40.677316","-73.98311"
"447","40.889247999999995","-73.898583"
"448","40.665449","-73.889395"
"451","40.742626","-73.953581"
"453","40.576127","-73.975939"
"455","40.706821000000005","-74.0091"
"458","40.839892","-73.842952"
"460","40.826525","-73.88628299999999"
"461","40.688764","-73.904046"
"463","40.693878999999995","-73.851576"
"465","40.886037","-73.878751"
"188","40.608944","-73.973022"
"192","40.589620000000004","-73.97425"
"359","40.669399","-73.942161"
"368","40.714063","-73.950275"
"372","40.712792","-73.951418"
"408","40.664635","-73.89489499999999"
"352","40.663515000000004","-73.902447"
"439","40.664716999999996","-73.92260999999999"
